STATE_NAME,HOUSE_OF_PARLIAMENT,TENURE,Sno,MP_NAME,HOUSE_NAME,CONSTITUENCY,ALLOCATED_AMT,TENURE_START_DATE,TENURE_END_DATE,Total_Amt,allocated_amount,state,constituency,mp_name,work_id,work_recommendation_dtl_id
Maharashtra,2,18th Lok Sabha,64.0,BACHHAV SHOBHA DINESH,Lok Sabha,DHULE,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,DHULE,BACHHAV SHOBHA DINESH,,
West Bengal,2,18th Lok Sabha,65.0,BAG MITALI,Lok Sabha,ARAMBAG(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,ARAMBAG(SC),BAG MITALI,,
Odisha,2,18th Lok Sabha,66.0,BAIJAYANT PANDA,Lok Sabha,KENDRAPARA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Odisha,KENDRAPARA,BAIJAYANT PANDA,,
Maharashtra,2,18th Lok Sabha,67.0,BAJRANG MANOHAR SONWANE,Lok Sabha,BEED,165899107.19,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,165962594.43,Maharashtra,BEED,BAJRANG MANOHAR SONWANE,,
Odisha,2,18th Lok Sabha,68.0,BALABHADRA MAJHI,Lok Sabha,NABARANGPUR(ST),147413962.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147470375.35,Odisha,NABARANGPUR(ST),BALABHADRA MAJHI,,
Andhra Pradesh,2,18th Lok Sabha,69.0,Balashowry Vallabbhaneni,Lok Sabha,MACHILIPATNAM,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Andhra Pradesh,MACHILIPATNAM,Balashowry Vallabbhaneni,,
Telangana,2,18th Lok Sabha,70.0,BALRAM NAIK PORIKA,Lok Sabha,MAHABUBABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Telangana,MAHABUBABAD,BALRAM NAIK PORIKA,,
Maharashtra,2,18th Lok Sabha,71.0,BALWANT BASWANT WANKHADE,Lok Sabha,AMRAVATI(SC),198293678.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,198369562.18,Maharashtra,AMRAVATI(SC),BALWANT BASWANT WANKHADE,,
Maharashtra,2,18th Lok Sabha,72.0,BALYA MAMA SURESH GOPINATH MHATRE,Lok Sabha,BHIWANDI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,BHIWANDI,BALYA MAMA SURESH GOPINATH MHATRE,,
Delhi,2,18th Lok Sabha,73.0,Bansuri Swaraj,Lok Sabha,NEW DELHI,154306950.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,154366001.09,Delhi,NEW DELHI,Bansuri Swaraj,,
West Bengal,2,18th Lok Sabha,74.0,BAPI HALDAR,Lok Sabha,MATHURAPUR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,MATHURAPUR(SC),BAPI HALDAR,,
Karnataka,2,18th Lok Sabha,75.0,BASAVARAJ BOMMAI,Lok Sabha,HAVERI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Karnataka,HAVERI,BASAVARAJ BOMMAI,,
Andhra Pradesh,2,18th Lok Sabha,76.0,BASTIPATI NAGARAJU PANCHALINGALA,Lok Sabha,KURNOOL,159998515.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,160059744.28,Andhra Pradesh,KURNOOL,BASTIPATI NAGARAJU PANCHALINGALA,,
Rajasthan,2,18th Lok Sabha,77.0,Bhagirath Chaudhary,Lok Sabha,AJMER,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Rajasthan,AJMER,Bhagirath Chaudhary,,
Rajasthan,2,18th Lok Sabha,78.0,BHAJAN LAL JATAV,Lok Sabha,KARAULI-DHOLPUR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Rajasthan,KARAULI-DHOLPUR(SC),BHAJAN LAL JATAV,,
Madhya Pradesh,2,18th Lok Sabha,79.0,BHARAT SINGH KUSHWAH,Lok Sabha,GWALIOR,151455276.04,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,151513235.83,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH,,
Gujarat,2,18th Lok Sabha,80.0,BHARATBHAI MANUBHAI SUTARIYA,Lok Sabha,AMRELI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Gujarat,AMRELI,BHARATBHAI MANUBHAI SUTARIYA,,
Gujarat,2,18th Lok Sabha,81.0,Bharatsinhji Shankarji Dabhi,Lok Sabha,PATAN,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Gujarat,PATAN,Bharatsinhji Shankarji Dabhi,,
Madhya Pradesh,2,18th Lok Sabha,82.0,BHARTI PARDHI,Lok Sabha,BALAGHAT,154398389.01,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,154457475.09,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,,
Maharashtra,2,18th Lok Sabha,83.0,BHASKAR MURLIDHAR BHAGARE,Lok Sabha,DINDORI(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,DINDORI(ST),BHASKAR MURLIDHAR BHAGARE,,
Maharashtra,2,18th Lok Sabha,84.0,BHAUSAHEB RAJARAM WAKCHAURE,Lok Sabha,SHIRDI(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,SHIRDI(SC),BHAUSAHEB RAJARAM WAKCHAURE,,
Chhattisgarh,2,18th Lok Sabha,85.0,BHOJRAJ NAG,Lok Sabha,KANKER(ST),164672734.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,164735752.04,Chhattisgarh,KANKER(ST),BHOJRAJ NAG,,
Uttar Pradesh,2,18th Lok Sabha,86.0,Bhola Singh,Lok Sabha,BULANDSHAHR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,BULANDSHAHR(SC),Bhola Singh,,
Maharashtra,2,18th Lok Sabha,87.0,BHUMARE SANDIPANRAO ASARAM,Lok Sabha,AURANGABAD_MH,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,AURANGABAD_MH,BHUMARE SANDIPANRAO ASARAM,,
Andhra Pradesh,2,18th Lok Sabha,88.0,Bhupathiraju Srinivasa varma,Lok Sabha,NARASAPURAM,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Andhra Pradesh,NARASAPURAM,Bhupathiraju Srinivasa varma,,
Rajasthan,2,18th Lok Sabha,89.0,BHUPENDER YADAV,Lok Sabha,ALWAR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Rajasthan,ALWAR,BHUPENDER YADAV,,
Odisha,2,18th Lok Sabha,90.0,BIBHU PRASAD TARAI,Lok Sabha,JAGATSINGHPUR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Odisha,JAGATSINGHPUR(SC),BIBHU PRASAD TARAI,,
Jharkhand,2,18th Lok Sabha,91.0,Bidyut Baran Mahato,Lok Sabha,JAMSHEDPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Jharkhand,JAMSHEDPUR,Bidyut Baran Mahato,,
Assam,2,18th Lok Sabha,92.0,BIJULI KALITA MEDHI,Lok Sabha,GUWAHATI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Assam,GUWAHATI,BIJULI KALITA MEDHI,,
Tripura,2,18th Lok Sabha,93.0,BIPLAB KUMAR DEB,Lok Sabha,TRIPURA WEST,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Tripura,TRIPURA WEST,BIPLAB KUMAR DEB,,
Andaman And Nicobar Islands,2,18th Lok Sabha,94.0,BISHNU PADA RAY,Lok Sabha,ANDAMAN AND NICOBAR ISLANDS,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,BISHNU PADA RAY,,
Rajasthan,2,18th Lok Sabha,95.0,BRIJENDRA SINGH OLA,Lok Sabha,JHUNJHUNU,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Rajasthan,JHUNJHUNU,BRIJENDRA SINGH OLA,,
Chhattisgarh,2,18th Lok Sabha,96.0,BRIJMOHAN AGRAWAL,Lok Sabha,RAIPUR,153766451.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,153825295.36,Chhattisgarh,RAIPUR,BRIJMOHAN AGRAWAL,,
Madhya Pradesh,2,18th Lok Sabha,97.0,BUNTY VIVEK SAHU,Lok Sabha,CHHINDWARA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Madhya Pradesh,CHHINDWARA,BUNTY VIVEK SAHU,,
Gujarat,2,18th Lok Sabha,98.0,C R Patil,Lok Sabha,NAVSARI,158532494.36,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,158593162.5,Gujarat,NAVSARI,C R Patil,,
Andhra Pradesh,2,18th Lok Sabha,99.0,C.M.RAMESH,Lok Sabha,ANAKAPALLE,202531656.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,202609162.11,Andhra Pradesh,ANAKAPALLE,C.M.RAMESH,,
Karnataka,2,18th Lok Sabha,100.0,CAPTAIN BRIJESH CHOWTA,Lok Sabha,DAKSHINA KANNADA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Karnataka,DAKSHINA KANNADA,CAPTAIN BRIJESH CHOWTA,,
Goa,2,18th Lok Sabha,101.0,CAPTAIN VIRIATO FERNANDES,Lok Sabha,SOUTH GOA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Goa,SOUTH GOA,CAPTAIN VIRIATO FERNANDES,,
Telangana,2,18th Lok Sabha,102.0,CHAMALA KIRAN KUMAR REDDY,Lok Sabha,BHONGIR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Telangana,BHONGIR,CHAMALA KIRAN KUMAR REDDY,,
Uttar Pradesh,2,18th Lok Sabha,103.0,CHANDAN CHAUHAN,Lok Sabha,BIJNOR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,BIJNOR,CHANDAN CHAUHAN,,
Rajasthan,2,18th Lok Sabha,104.0,Chandra Prakash Joshi,Lok Sabha,CHITTORGARH,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Rajasthan,CHITTORGARH,Chandra Prakash Joshi,,
Uttar Pradesh,2,18th Lok Sabha,105.0,CHANDRA SHEKHAR,Lok Sabha,NAGINA(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,NAGINA(SC),CHANDRA SHEKHAR,,
Gujarat,2,18th Lok Sabha,106.0,CHANDUBHAI CHHAGANBHAI SHIHORA,Lok Sabha,SURENDRANAGAR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Gujarat,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,,
Punjab,2,18th Lok Sabha,107.0,CHARANJIT SINGH CHANNI,Lok Sabha,JALANDHAR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Punjab,JALANDHAR(SC),CHARANJIT SINGH CHANNI,,
Maharashtra,2,18th Lok Sabha,108.0,CHAVAN VASANTRAO BALWANTRAO,Lok Sabha,NANDED,0.0,"Jun 4, 2024 12:00:00 AM","Aug 26, 2024 11:59:59 PM",,0.0,Maharashtra,NANDED,CHAVAN VASANTRAO BALWANTRAO,,
Uttar Pradesh,2,18th Lok Sabha,109.0,CHHATRA PAL SINGH GANGWAR,Lok Sabha,BAREILLY,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,BAREILLY,CHHATRA PAL SINGH GANGWAR,,
Maharashtra,2,18th Lok Sabha,110.0,CHHATRAPATI SHAHU SHAHAJI,Lok Sabha,KOLHAPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,KOLHAPUR,CHHATRAPATI SHAHU SHAHAJI,,
Uttar Pradesh,2,18th Lok Sabha,111.0,CHHOTELAL,Lok Sabha,ROBERTSGANJ(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,ROBERTSGANJ(SC),CHHOTELAL,,
Chhattisgarh,2,18th Lok Sabha,112.0,CHINTAMANI MAHARAJ,Lok Sabha,SARGUJA(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 12:00:00 AM",,147056254.82,Chhattisgarh,SARGUJA(ST),CHINTAMANI MAHARAJ,,
Bihar,2,18th Lok Sabha,113.0,CHIRAG PASWAN,Lok Sabha,HAJIPUR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Bihar,HAJIPUR(SC),CHIRAG PASWAN,,
Tamil Nadu,2,18th Lok Sabha,114.0,CN Annadurai,Lok Sabha,TIRUVANNAMALAI,148579509.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,148636368.39,Tamil Nadu,TIRUVANNAMALAI,CN Annadurai,,
Tamil Nadu,2,18th Lok Sabha,115.0,D M Kathir Anand,Lok Sabha,VELLORE,160196941.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,160258246.21,Tamil Nadu,VELLORE,D M Kathir Anand,,
Tamil Nadu,2,18th Lok Sabha,116.0,D Ravikumar ,Lok Sabha,VILUPPURAM(SC),197598306.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,197673924.19,Tamil Nadu,VILUPPURAM(SC),D Ravikumar ,,
Andhra Pradesh,2,18th Lok Sabha,117.0,Daggubati Purandeshwari,Lok Sabha,RAJAHMUNDRY,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Andhra Pradesh,RAJAHMUNDRY,Daggubati Purandeshwari,,
Andhra Pradesh,2,18th Lok Sabha,118.0,DAGGUMALLA PRASADA RAO,Lok Sabha,CHITTOOR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Andhra Pradesh,CHITTOOR,DAGGUMALLA PRASADA RAO,,
Rajasthan,2,18th Lok Sabha,119.0,DAMODAR AGARWAL,Lok Sabha,BHILWARA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Rajasthan,BHILWARA,DAMODAR AGARWAL,,
Uttar Pradesh,2,18th Lok Sabha,120.0,DAROGA PRASAD SAROJ,Lok Sabha,LALGANJ (SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,LALGANJ (SC),DAROGA PRASAD SAROJ,,
Madhya Pradesh,2,18th Lok Sabha,121.0,DARSHAN SINGH CHOUDHARY,Lok Sabha,HOSHANGABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,,
Haryana,2,18th Lok Sabha,122.0,DEEPENDER SINGH HOODA,Lok Sabha,ROHTAK,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Haryana,ROHTAK,DEEPENDER SINGH HOODA,,
Uttar Pradesh,2,18th Lok Sabha,123.0,Devendra Alias Bhole Singh,Lok Sabha,AKBARPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,AKBARPUR,Devendra Alias Bhole Singh,,
Bihar,2,18th Lok Sabha,124.0,DEVESH CHANDRA THAKUR,Lok Sabha,SITAMARHI,163809205.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,163871892.58,Bihar,SITAMARHI,DEVESH CHANDRA THAKUR,,
Uttar Pradesh,2,18th Lok Sabha,125.0,DEVESH SHAKYA,Lok Sabha,ETAH,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,ETAH,DEVESH SHAKYA,,
Gujarat,2,18th Lok Sabha,126.0,Devusinh Jesingbhai Chauhan,Lok Sabha,KHEDA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 4, 2029 11:59:59 PM",,147056254.82,Gujarat,KHEDA,Devusinh Jesingbhai Chauhan,,
Maharashtra,2,18th Lok Sabha,127.0,Dhairyasheel Sambhajirao Mane,Lok Sabha,HATKANANGLE,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,HATKANANGLE,Dhairyasheel Sambhajirao Mane,,
Maharashtra,2,18th Lok Sabha,128.0,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Lok Sabha,CHANDRAPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,CHANDRAPUR,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,,
Odisha,2,18th Lok Sabha,129.0,DHARMENDRA PRADHAN,Lok Sabha,SAMBALPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Odisha,SAMBALPUR,DHARMENDRA PRADHAN,,
Uttar Pradesh,2,18th Lok Sabha,130.0,DHARMENDRA YADAV,Lok Sabha,AZAMGARH,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,AZAMGARH,DHARMENDRA YADAV,,
Gujarat,2,18th Lok Sabha,131.0,DHAVAL LAXMANBHAI PATEL,Lok Sabha,VALSAD(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Gujarat,VALSAD(ST),DHAVAL LAXMANBHAI PATEL,,
Bihar,2,18th Lok Sabha,132.0,Dileshwar Kamait ,Lok Sabha,SUPAUL,150450930.89,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,150508506.33,Bihar,SUPAUL,Dileshwar Kamait ,,
Assam,2,18th Lok Sabha,133.0,Dilip Saikia,Lok Sabha,Darrang-Udalguri,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Assam,Darrang-Udalguri,Dilip Saikia,,
Bihar,2,18th Lok Sabha,134.0,Dinesh Chandra Yadav,Lok Sabha,MADHEPURA,150070866.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,150128296.11,Bihar,MADHEPURA,Dinesh Chandra Yadav,,
Gujarat,2,18th Lok Sabha,135.0,DINESHBHAI MAKWANA,Lok Sabha,AHMEDABAD WEST(SC),160434965.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,160496361.3,Gujarat,AHMEDABAD WEST(SC),DINESHBHAI MAKWANA,,
Andhra Pradesh,2,18th Lok Sabha,136.0,DR BYREDDY SHABARI,Lok Sabha,NANDYAL,150675889.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,150733550.64,Andhra Pradesh,NANDYAL,DR BYREDDY SHABARI,,
Karnataka,2,18th Lok Sabha,137.0,DR C N MANJUNATH,Lok Sabha,BANGALORE RURAL,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Karnataka,BANGALORE RURAL,DR C N MANJUNATH,,
Andhra Pradesh,2,18th Lok Sabha,138.0,Dr Chandra Sekhar Pemmasani,Lok Sabha,GUNTUR,159774113.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,159835256.4,Andhra Pradesh,GUNTUR,Dr Chandra Sekhar Pemmasani,,
Punjab,2,18th Lok Sabha,139.0,DR DHARAMVIRA GANDHI,Lok Sabha,PATIALA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Punjab,PATIALA,DR DHARAMVIRA GANDHI,,
West Bengal,2,18th Lok Sabha,140.0,Dr Jayanta Kumar Roy,Lok Sabha,JALPAIGURI(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,JALPAIGURI(SC),Dr Jayanta Kumar Roy,,
Maharashtra,2,18th Lok Sabha,141.0,DR KALGE SHIVAJI BANDAPPA,Lok Sabha,LATUR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,LATUR(SC),DR KALGE SHIVAJI BANDAPPA,,
Bihar,2,18th Lok Sabha,142.0,Dr Mohammad Jawed,Lok Sabha,KISHANGANJ,148669229.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,148726122.72,Bihar,KISHANGANJ,Dr Mohammad Jawed,,
Uttar Pradesh,2,18th Lok Sabha,143.0,DR RAJKUMAR SANGWAN,Lok Sabha,BAGHPAT,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,BAGHPAT,DR RAJKUMAR SANGWAN,,
Tamil Nadu,2,18th Lok Sabha,144.0,DR RANI SRI KUMAR,Lok Sabha,TENKASI(SC),153060922.82,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,153119497.07,Tamil Nadu,TENKASI(SC),DR RANI SRI KUMAR,,
Kerala,2,18th Lok Sabha,145.0,Dr Shashi Tharoor,Lok Sabha,THIRUVANANTHAPURAM,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Kerala,THIRUVANANTHAPURAM,Dr Shashi Tharoor,,
West Bengal,2,18th Lok Sabha,146.0,Dr Sukanta Majumdar ,Lok Sabha,BALURGHAT,157085364.9,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,157145479.25,West Bengal,BALURGHAT,Dr Sukanta Majumdar ,,
Gujarat,2,18th Lok Sabha,147.0,DR. HEMANG JOSHI,Lok Sabha,VADODARA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Gujarat,VADODARA,DR. HEMANG JOSHI,,
Maharashtra,2,18th Lok Sabha,148.0,DR. HEMANT VISHNU SAVARA,Lok Sabha,PALGHAR(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,PALGHAR(ST),DR. HEMANT VISHNU SAVARA,,
Maharashtra,2,18th Lok Sabha,149.0,DR. KIRSAN NAMDEO,Lok Sabha,GADCHIROLI-CHIMUR(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,GADCHIROLI-CHIMUR(ST),DR. KIRSAN NAMDEO,,
Madhya Pradesh,2,18th Lok Sabha,150.0,DR. LATA WANKHEDE,Lok Sabha,SAGAR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Madhya Pradesh,SAGAR,DR. LATA WANKHEDE,,
Kerala,2,18th Lok Sabha,151.0,DR. M.P ABDUSSAMAD SAMADANI,Lok Sabha,PONNANI,170434031.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,170499253.8,Kerala,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,,
Gujarat,2,18th Lok Sabha,152.0,DR. MANSUKH MANDAVIYA,Lok Sabha,PORBANDAR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Gujarat,PORBANDAR,DR. MANSUKH MANDAVIYA,,
Karnataka,2,18th Lok Sabha,153.0,DR. PRABHA MALLIKARJUN,Lok Sabha,DAVANAGERE,150232324.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,150289815.78,Karnataka,DAVANAGERE,DR. PRABHA MALLIKARJUN,,
Odisha,2,18th Lok Sabha,154.0,DR. PRADEEP KUMAR PANIGRAHY,Lok Sabha,BERHAMPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Odisha,BERHAMPUR,DR. PRADEEP KUMAR PANIGRAHY,,
Maharashtra,2,18th Lok Sabha,155.0,DR. PRASHANT YADAORAO PADOLE,Lok Sabha,BHANDARA-GONDIYA,159680283.39,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,159741390.78,Maharashtra,BHANDARA-GONDIYA,DR. PRASHANT YADAORAO PADOLE,,
Punjab,2,18th Lok Sabha,156.0,DR. RAJ KUMAR CHABBEWAL,Lok Sabha,HOSHIARPUR(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Punjab,HOSHIARPUR(SC),DR. RAJ KUMAR CHABBEWAL,,
Madhya Pradesh,2,18th Lok Sabha,157.0,DR. RAJESH MISHRA,Lok Sabha,SIDHI,262724510.35,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,262825051.3,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA,,
Uttar Pradesh,2,18th Lok Sabha,158.0,DR. S P SINGH,Lok Sabha,PRATAPGARH,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,PRATAPGARH,DR. S P SINGH,,
West Bengal,2,18th Lok Sabha,159.0,DR. SHARMILA SARKAR,Lok Sabha,BARDHAMAN PURBA(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,BARDHAMAN PURBA(SC),DR. SHARMILA SARKAR,,
