"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"38991","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18003/2025-2026/223854","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","21-Feb-2026","Pasuparthi Hareesh","Payment Success","497566"
"38992","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18003/2024-2025/172270","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","24-Oct-2025","Pasuparthi Hareesh","Payment Success","499862"
"38993","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18003/2024-2025/172278","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","06-Jul-2026","Pasuparthi Hareesh","Payment Success","356063"
"38994","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2024-2025/172280","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","06-Jul-2026","Pasuparthi Hareesh","Payment Success","994274"
"38995","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2025-2026/223855","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","06-Jul-2026","Pasuparthi Hareesh","Payment Success","987814"
"38996","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2024-2025/172279","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","04-May-2026","Pasuparthi Hareesh","Payment Success","994208"
"38997","Chhattisgarh","Construction of community centers and community halls","WS/MP429/2025-2026/198903","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","23-Jun-2025","SARPANCH OF GRAM PANCHAYAT KAPOT","Payment Success","175000"
"38998","Jammu And Kashmir","Development of public parks","WS/MP600/2024-2025/161835","DODA(Deputy Commissioner Doda_IDA)","Jitendra Singh","UDHAMPUR","26-Jul-2025","Tahira Begum","Payment Success","416000"
"38999","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18107/2025-2026/178623","JHABUA(DISTRICT COLLECTOR JHABUA_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","09-Jun-2025","Gram Panchayat Guwali","Payment Success","341500"
"39000","Rajasthan","Construction of culverts and bridges","WS/MP18172/2024-2025/149101","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","07-Jun-2025","BASER MATERIAL SUPPLIERS TALORA","Payment Success","748431"
"39001","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18144/2024-2025/148053","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","KALAHANDI","30-May-2025","SANTOSH KUMAR MUND","Payment Success","200000"
"39002","Odisha","Construction of footpaths and pedestrian ways","WS/MP18144/2025-2026/194832","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","KALAHANDI","13-Sep-2025","SANTOSH KUMAR MUND","Payment Success","300000"
"39003","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18144/2025-2026/163590","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","KALAHANDI","13-Sep-2025","SANTOSH KUMAR MUND","Payment Success","300000"
"39004","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/230325","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","26-Nov-2025","MS DIMPY BRICKS","Payment Success","16324"
"39005","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2024-2025/161380","SOUTH WEST KHASI HILLS(DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT_IDA)","ANDREW J. SYNGKON","SHILLONG","18-Feb-2026","Robert Lyngdoh","Payment Success","150000"
"39006","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2024-2025/161380","SOUTH WEST KHASI HILLS(DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT_IDA)","ANDREW J. SYNGKON","SHILLONG","19-Jun-2025","Robert Lyngdoh","Payment Success","150000"
"39007","Madhya Pradesh","Purchase of smart boards, visual display units and projectors","WS/MP18105/2024-2025/158350","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","02-Jun-2025","Micro Sales and Servises","Payment Success","200000"
"39008","Madhya Pradesh","Purchase of smart boards, visual display units and projectors","WS/MP18105/2024-2025/158350","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","29-Jul-2025","Micro Sales and Servises","Payment Success","99000"
"39009","Madhya Pradesh","Purchase of smart boards, visual display units and projectors","WS/MP18105/2025-2026/246009","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","24-Feb-2026","Micro Sales and Servises","Payment Success","180000"
"39010","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2025-2026/148377","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","31-Dec-2025","TAGESWAR PEGU","Payment Success","175376"
"39011","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2025-2026/148377","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","24-Jun-2026","TAGESWAR PEGU","Payment Success","81098"
"39012","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2024-2025/148379","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","06-Nov-2025","TAGESWAR PEGU","Payment Success","39347"
"39013","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2025-2026/148377","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","02-Sep-2025","TAGESWAR PEGU","Payment Success","499805"
"39014","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2024-2025/148379","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","23-Jun-2025","TAGESWAR PEGU","Payment Success","419725"
"39015","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2024-2025/148379","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","06-Aug-2025","TAGESWAR PEGU","Payment Success","461073"
"39016","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2024-2025/148379","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","25-Jul-2025","TAGESWAR PEGU","Payment Success","79635"
"39017","Assam","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP410/2025-2026/148377","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Pradan Baruah","LAKHIMPUR","25-Sep-2025","TAGESWAR PEGU","Payment Success","243568"
"39018","West Bengal","Construction of water tanks","WS/MP853/2025-2026/166019","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Khagen Murmu","MALDAHA UTTAR","08-Jan-2026","MS AB CONSTRUCTION","Payment Success","799750"
"39019","West Bengal","Purchase of hospital equipment","WS/MP243/2025-2026/192867","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","28-Jul-2025","SYSTECH","Payment Success","487340"
"39020","West Bengal","Providing CCTV camera system for security of public areas","WS/MP243/2025-2026/196945","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","28-Jul-2025","SYSTECH","Payment Success","486750"
"39021","West Bengal","Purchase of hospital equipment","WS/MP243/2024-2025/157105","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","28-Jul-2025","SYSTECH","Payment Success","174050"
"39022","West Bengal","Purchase of hospital equipment","WS/MP243/2025-2026/197303","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","14-Oct-2025","SYSTECH","Payment Success","215984"
"39023","West Bengal","Purchase of hospital equipment","WS/MP243/2024-2025/157104","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","03-Jun-2025","SYSTECH","Payment Success","269980"
"39024","Lakshadweep","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18279/2025-2026/213950","LAKSHADWEEP DISTRICT(COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA)","MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP(ST)","20-Nov-2025","BITS N BYTES","Payment Success","1439441"
"39025","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18337/2024-2025/158410","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","K RADHAKRISHNAN","ALATHUR(SC)","16-Jun-2025","BITS N BYTES","Payment Success","1199976"
"39026","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2025-2026/181049","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","09-Sep-2025","MELUSAN GRAM PANCHAYT","Payment Success","300000"
"39027","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/162788","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","04-Nov-2025","BAMANVA GRAM PANCHAYAT","Payment Success","150000"
"39028","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/211343","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","09-Jul-2025","JAGADISHA C","Payment Success","499985"
"39029","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18337/2024-2025/158410","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","K RADHAKRISHNAN","ALATHUR(SC)","16-Jun-2025","GENNEXT SOLUTIONS","Payment Success","7000"
"39030","Chandigarh","Installation of fixed garden gym equipment","WS/MP18047/2025-2026/227209","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","20-Jan-2026","Adharshila Potteries","Payment Success","269398"
"39031","Chandigarh","Purchase of immovable sports equipment","WS/MP18047/2025-2026/227241","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","17-Jun-2026","Adharshila Potteries","Payment Success","332381"
"39032","Chandigarh","Installation of fixed garden gym equipment","WS/MP18047/2025-2026/247620","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","17-Jun-2026","Adharshila Potteries","Payment Success","209636"
"39033","Madhya Pradesh","Construction of water tanks","WS/MP18102/2025-2026/182464","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","29-May-2025","GRAM PANCHAYAT PATHAMOTI JANPAD PANCHAYAT UMARBAN","Payment Success","250000"
"39034","Madhya Pradesh","Construction of water tanks","WS/MP18102/2025-2026/182464","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","24-Aug-2026","GRAM PANCHAYAT PATHAMOTI JANPAD PANCHAYAT UMARBAN","Payment Success","250000"
"39035","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2024-2025/138821","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","30-May-2025","B K AGENCY","Payment Success","301378"
"39036","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2025-2026/202520","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","17-Dec-2025","B K AGENCY","Payment Success","197901"
"39037","Rajasthan","Construction of public libraries and reading rooms","WS/MP18159/2024-2025/158156","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","28-Jul-2025","RAMESHWAR DAYALAND BROTHERS","Payment Success","990033"
"39038","Rajasthan","Development of playground","WS/MP18159/2025-2026/209932","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","06-Mar-2026","RAMESHWAR DAYALAND BROTHERS","Payment Success","985451"
"39039","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/157196","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","29-May-2025","MANTROJ GRAM PANCHAYAT","Payment Success","450100"
"39040","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/157195","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","29-May-2025","BACHAR GRAM PANCHAYAT","Payment Success","500000"
"39041","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/157194","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","29-May-2025","SAMRA GRAM PANCHAYAT","Payment Success","500000"
"39042","Telangana","Construction of boundary walls of existing public and community buildings","WS/MP18193/2024-2025/156040","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","30-Jul-2025","SMV Infrastructure","Payment Success","412671"
"39043","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/192350","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","29-May-2025","Shaukath Hashmi","Payment Success","398854"
"39044","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/192253","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","29-May-2025","Thangela Ramesh","Payment Success","300000"
"39045","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/192354","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","29-May-2025","Sollu Surendhar","Payment Success","300000"
"39046","West Bengal","Construction of additional rooms and halls in the existing public and community building","WS/MP484/2024-2025/145675","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","KOLKATA DAKSHIN","12-Sep-2025","SOURAV SARKAR","Payment Success","825080"
"39047","Madhya Pradesh","Street lights","WS/MP640/2025-2026/164848","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","29-Jan-2026","GRAM PANCHAYAT GHANSORE","Payment Success","198000"
