"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"13550","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219462","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Mar-2026","Rayia bricks co","Payment Success","37400"
"13551","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/190985","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Feb-2026","sidhu cement and sanitry store","Payment Success","28800"
"13552","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/190985","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Feb-2026","sidhu cement and sanitry store","Payment Success","39000"
"13553","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/190985","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","23-Jun-2026","sidhu cement and sanitry store","Payment Success","15170"
"13554","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","SANDEEP","Payment Success","9750"
"13555","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","SANDEEP","Payment Success","8250"
"13556","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","SURENDRA","Payment Success","6750"
"13557","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","MANDEEP","Payment Success","8250"
"13558","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2025-2026/243980","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","10-Feb-2026","INDIAN CONSTRUCTION COMPANY","Payment Success","585846"
"13559","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2025-2026/243980","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","09-Mar-2026","INDIAN CONSTRUCTION COMPANY","Payment Success","412903"
"13560","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","SURENDRA","Payment Success","7500"
"13561","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","POONAM KUMARI","Payment Success","3025"
"13562","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","SHANKARLAL","Payment Success","8250"
"13563","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216464","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","08-Feb-2026","Bajwa Boring And Hardware Store","Payment Success","13000"
"13564","Jammu And Kashmir","Installing tube-wells and borewells","WS/MP18070/2025-2026/194295","SHOPIAN(Deputy Commissioner Shopian_IDA)","MIAN ALTAF AHMAD","ANANTNAG","11-Feb-2026","Sajad Ahmad WAni","Payment Success","550400"
"13565","Jammu And Kashmir","Installing tube-wells and borewells","WS/MP18070/2025-2026/194297","SHOPIAN(Deputy Commissioner Shopian_IDA)","MIAN ALTAF AHMAD","ANANTNAG","11-Feb-2026","Sajad Ahmad WAni","Payment Success","540000"
"13566","Jammu And Kashmir","Installing tube-wells and borewells","WS/MP18070/2025-2026/194298","SHOPIAN(Deputy Commissioner Shopian_IDA)","MIAN ALTAF AHMAD","ANANTNAG","11-Feb-2026","Sajad Ahmad WAni","Payment Success","278700"
"13567","Odisha","Construction of rooms and halls in school and colleges","WS/MP18148/2025-2026/170297","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","18-Feb-2026","Ms Raza Welding Works","Payment Success","35913"
"13568","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18393/2024-2025/163261","SANGAREDDY(District Collector Sangareddy_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","11-Mar-2026","POSANPALLY ESHWAR REDDY","Payment Success","924920"
"13569","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/157192","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","11-Feb-2026","KARAMDI GRAM PANCHAYT","Payment Success","399800"
"13570","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP345/2025-2026/190470","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","17-Mar-2026","SHAJIMON B","Payment Success","403509"
"13571","Jharkhand","Providing drains and gutters for public drainage","WS/MP18322/2025-2026/241533","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","17-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13572","Jharkhand","Providing drains and gutters for public drainage","WS/MP18322/2025-2026/241535","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","17-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13573","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/241538","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","17-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13574","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/241539","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","17-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13575","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241512","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13576","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241511","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13577","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241525","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13578","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241513","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13579","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241522","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13580","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241510","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13581","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241531","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13582","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241528","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13583","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241529","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13584","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241530","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13585","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241551","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13586","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241544","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13587","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241543","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13588","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241541","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13589","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241542","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13590","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241540","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13591","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241532","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13592","Jharkhand","Construction of public irrigation facilities","WS/MP18322/2025-2026/241555","JAMTARA(Deputy Commissioner Jamtara_IDA)","NALIN SOREN","DUMKA(ST)","14-Jul-2026","PAPAN KUMAR MANDAL","Payment Success","250000"
"13593","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2025-2026/236963","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","09-Feb-2026","HIMANSHU GUPTA","Payment Success","187000"
"13594","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2025-2026/178997","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","09-Feb-2026","AJAY KUMAR","Payment Success","160000"
"13595","Telangana","Purchase of sports equipment","WS/MP770/2025-2026/247881","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","21-Feb-2026","Sloka Enterprises","Payment Success","630552"
"13596","Jammu And Kashmir","Construction of footpaths and pedestrian ways","WS/MP600/2025-2026/237571","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","09-Feb-2026","ABIKESH SHARMA","Payment Success","140000"
"13597","Jammu And Kashmir","Construction of footpaths and pedestrian ways","WS/MP18070/2025-2026/243303","ANANTNAG(DEPUTY COMMISSIONER ANANTNAG_IDA)","MIAN ALTAF AHMAD","ANANTNAG","18-Feb-2026","Omer Nabi Bhat","Payment Success","367876"
"13598","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP827/2024-2025/152397","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","Shatrughan Sinha","ASANSOL","09-Feb-2026","MODERN CONSTRUCTION","Payment Success","1572875"
"13599","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18109/2025-2026/179975","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","24-Jul-2026","VINAYAK CONSTRUCTION","Payment Success","165990"
"13600","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223530","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","18-Feb-2026","NIMAHA KHAKLARY","Payment Success","150000"
"13601","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238419","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","13-Feb-2026","timba gram panchayat","Payment Success","499903"
"13602","West Bengal","Providing drains and gutters for public drainage","WS/MP243/2025-2026/189485","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","10-Feb-2026","RAM THAKUR CONSTRUCTION","Payment Success","499185"
"13603","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18158/2025-2026/231537","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","25-Mar-2026","SWASTIK ENTERPRISES","Payment Success","14000"
"13604","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18158/2025-2026/231537","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","25-Mar-2026","SWASTIK ENTERPRISES","Payment Success","28807"
"13605","Tamil Nadu","Construction of community centers and community halls","WS/MP458/2025-2026/150051","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","16-Feb-2026","Varalakshmi","Payment Success","1998754"
"13606","Odisha","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18143/2025-2026/239109","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","20-Feb-2026","MS MALLICK SUPPLIERS","Payment Success","249696"
"13607","Odisha","Construction of rooms and halls in school and colleges","WS/MP18143/2025-2026/249868","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","31-Jul-2026","MS MALLICK SUPPLIERS","Payment Success","116074"
"13608","Odisha","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18143/2025-2026/249914","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","19-May-2026","MS MALLICK SUPPLIERS","Payment Success","217069"
"13609","Odisha","Construction of rooms and halls in school and colleges","WS/MP18143/2025-2026/249868","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","31-Jul-2026","Ajit Senapati","Payment Success","187116"
"13610","Odisha","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18143/2025-2026/239109","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","20-Feb-2026","Ajit Senapati","Payment Success","208445"
"13611","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/246714","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","13-Apr-2026","Neeraj Thakur","Payment Success","61376"
"13612","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/246719","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","12-Feb-2026","Neeraj Thakur","Payment Success","60650"
"13613","Tamil Nadu","Installing tube-wells and borewells","WS/MP393/2025-2026/220663","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","09-Feb-2026","MUTHUMURUGESAN","Payment Success","448743"
"13614","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Anandi Devi","Payment Success","20150"
"13615","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Anandi Devi","Payment Success","4225"
"13616","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","giga devi","Payment Success","8450"
"13617","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","GUMAN MAL","Payment Success","30225"
"13618","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Haralal Ram","Payment Success","8450"
"13619","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Janki","Payment Success","8450"
"13620","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Jethi Devi","Payment Success","16900"
"13621","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Rameshwar Lal","Payment Success","10075"
"13622","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","RAMESHWARI","Payment Success","12025"
"13623","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Ganesh Ram","Payment Success","14300"
"13624","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","MALLARAM","Payment Success","4225"
"13625","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","RANJIT","Payment Success","8450"
"13626","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Sanju Devi","Payment Success","4225"
"13627","Rajasthan","Construction of community centers and community halls","WS/MP18172/2025-2026/195541","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","08-Feb-2026","Satyanarayan samatiya","Payment Success","20150"
"13628","Karnataka","Construction of rooms and halls in school and colleges","WS/MP341/2025-2026/136725","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri LS Tejasvi Surya","BANGALORE SOUTH","10-Feb-2026","RUDRESH M V","Payment Success","496984"
"13629","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","SANJAY","Payment Success","9750"
"13630","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","SANJAY","Payment Success","8250"
"13631","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","BHAJAN LAL","Payment Success","8250"
"13632","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","BHAJAN LAL","Payment Success","9750"
"13633","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","POORANARAM","Payment Success","9750"
"13634","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","POORANARAM","Payment Success","8250"
"13635","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","GOVIND RAM","Payment Success","8250"
"13636","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","GOVIND RAM","Payment Success","9750"
"13637","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","RADHESHYAM","Payment Success","3575"
"13638","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","RADHESHYAM","Payment Success","8250"
"13639","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","TARA DEVI","Payment Success","3575"
"13640","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","TARA DEVI","Payment Success","3025"
"13641","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","AJAY KUMAR","Payment Success","3575"
"13642","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","AJAY KUMAR","Payment Success","8250"
"13643","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","MANROOP SINGH","Payment Success","10200"
"13644","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","MAHESH KUMAR","Payment Success","10200"
"13645","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","KRISHAN","Payment Success","10200"
"13646","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","KRISHAN","Payment Success","23400"
"13647","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","PARTAP","Payment Success","3420"
"13648","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","RAJENDRA KUMAR","Payment Success","10200"
"13649","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","RAJENDRA KUMAR","Payment Success","23400"
"13650","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","HARI SINGH","Payment Success","3420"
"13651","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","MANI RAM","Payment Success","3420"
"13652","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","SHAYAR","Payment Success","3420"
"13653","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","SANDEEP","Payment Success","21900"
"13654","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","HARDAT","Payment Success","3420"
"13655","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","KAILASH","Payment Success","3420"
"13656","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","KAILASH","Payment Success","7410"
